frequency_hz,magnitude_db
20.0,-20.52
20.3,-20.68
20.5,-20.76
20.8,-18.79
21.1,-19.21
21.4,-20.79
21.7,-17.44
22.0,-20.15
22.3,-20.29
22.6,-19.77
22.9,-18.63
23.2,-20.56
23.5,-22.09
23.8,-20.27
24.2,-18.91
24.5,-19.96
24.8,-19.13
25.2,-20.65
25.5,-19.29
25.9,-20.84
26.2,-18.49
26.6,-18.17
26.9,-22.10
27.3,-20.33
27.7,-20.55
28.0,-20.54
28.4,-20.99
28.8,-19.54
29.2,-18.13
29.6,-17.70
30.0,-19.78
30.4,-19.17
30.8,-17.71
31.2,-18.12
31.7,-20.20
32.1,-19.78
32.5,-18.52
33.0,-18.89
33.4,-20.89
33.9,-20.44
34.3,-18.23
34.8,-20.37
35.3,-20.35
35.8,-19.51
36.3,-19.74
36.7,-20.54
37.2,-20.07
37.8,-19.57
38.3,-20.22
38.8,-18.71
39.3,-22.77
39.9,-18.50
40.4,-18.06
40.9,-18.44
41.5,-22.60
42.1,-20.03
42.6,-19.01
43.2,-17.88
43.8,-18.79
44.4,-19.10
45.0,-19.71
45.6,-18.72
46.2,-18.55
46.9,-20.85
47.5,-19.53
48.2,-17.13
48.8,-19.99
49.5,-17.68
50.1,-17.12
50.8,-17.87
51.5,-19.47
52.2,-17.72
52.9,-19.00
53.7,-19.13
54.4,-19.54
55.1,-19.96
55.9,-18.18
56.6,-18.81
57.4,-18.24
58.2,-18.58
59.0,-17.86
59.8,-19.61
60.6,-17.15
61.4,-19.77
62.3,-17.85
63.1,-18.63
64.0,-19.07
64.8,-18.75
65.7,-17.91
66.6,-19.36
67.5,-19.14
68.4,-16.82
69.4,-18.15
70.3,-18.11
71.3,-20.29
72.2,-19.22
73.2,-17.59
74.2,-18.76
75.2,-16.76
76.3,-17.60
77.3,-20.04
78.3,-16.99
79.4,-17.89
80.5,-21.27
81.6,-16.56
82.7,-15.89
83.8,-16.44
85.0,-16.79
86.1,-17.88
87.3,-16.55
88.5,-17.00
89.7,-15.80
90.9,-16.59
92.1,-16.88
93.4,-16.62
94.7,-17.51
96.0,-17.03
97.3,-13.45
98.6,-16.39
99.9,-19.84
101.3,-18.79
102.7,-15.59
104.1,-17.03
105.5,-16.99
106.9,-17.19
108.4,-17.68
109.8,-18.42
111.3,-14.66
112.8,-15.43
114.4,-17.08
115.9,-14.73
117.5,-14.58
119.1,-17.74
