frequency_hz,magnitude_db
20.0,-18.24
20.3,-18.73
20.5,-18.87
20.8,-17.77
21.1,-16.61
21.4,-17.97
21.7,-20.05
22.0,-17.17
22.3,-18.49
22.6,-17.99
22.9,-15.71
23.2,-14.83
23.5,-16.95
23.8,-16.46
24.2,-19.65
24.5,-15.89
24.8,-19.41
25.2,-17.34
25.5,-16.64
25.9,-17.87
26.2,-19.78
26.6,-17.04
26.9,-16.29
27.3,-19.97
27.7,-17.45
28.0,-15.60
28.4,-15.16
28.8,-15.43
29.2,-16.44
29.6,-16.36
30.0,-16.97
30.4,-14.75
30.8,-18.95
31.2,-16.87
31.7,-16.24
32.1,-16.65
32.5,-18.91
33.0,-16.73
33.4,-16.70
33.9,-18.05
34.3,-17.29
34.8,-16.37
35.3,-17.69
35.8,-16.38
36.3,-14.46
36.7,-18.18
37.2,-16.81
37.8,-14.75
38.3,-17.87
38.8,-17.66
39.3,-16.15
39.9,-16.92
40.4,-14.70
40.9,-16.18
41.5,-15.15
42.1,-18.49
42.6,-20.03
43.2,-14.73
43.8,-16.97
44.4,-17.97
45.0,-15.70
45.6,-17.14
46.2,-19.20
46.9,-18.52
47.5,-16.35
48.2,-18.80
48.8,-17.86
49.5,-12.85
50.1,-15.70
50.8,-14.84
51.5,-14.51
52.2,-17.74
52.9,-18.51
53.7,-15.19
54.4,-18.00
55.1,-12.69
55.9,-12.87
56.6,-15.59
57.4,-17.05
58.2,-15.21
59.0,-13.10
59.8,-13.18
60.6,-13.22
61.4,-14.15
62.3,-15.18
63.1,-15.03
64.0,-16.07
64.8,-14.55
65.7,-16.93
66.6,-16.15
67.5,-15.46
68.4,-13.32
69.4,-14.11
70.3,-14.33
71.3,-15.79
72.2,-14.67
73.2,-15.07
74.2,-15.27
75.2,-14.82
76.3,-11.96
77.3,-13.34
78.3,-12.49
79.4,-16.23
80.5,-13.07
81.6,-14.28
82.7,-14.82
83.8,-13.95
85.0,-13.88
86.1,-12.85
87.3,-11.98
88.5,-13.67
89.7,-11.30
90.9,-12.04
92.1,-12.71
93.4,-10.77
94.7,-11.69
96.0,-11.14
97.3,-13.21
98.6,-11.39
99.9,-10.14
101.3,-12.35
102.7,-12.33
104.1,-14.62
105.5,-11.32
106.9,-9.78
108.4,-11.64
109.8,-12.55
111.3,-12.43
112.8,-11.96
114.4,-8.88
115.9,-10.55
117.5,-9.86
119.1,-14.39
120.7,-10.53
122.4,-10.04
124.0,-10.27
125.7,-10.28
127.4,-8.44
129.2,-10.14
130.9,-11.63
132.7,-8.30
134.5,-10.10
136.4,-8.91
138.2,-7.87
140.1,-9.90
142.0,-8.69
143.9,-11.22
145.9,-8.93
147.9,-10.13
149.9,-7.27
151.9,-6.95
154.0,-9.40
156.1,-10.83
158.2,-10.37
160.4,-7.98
162.6,-6.25
164.8,-5.87
167.0,-6.27
169.3,-6.17
171.6,-6.88
173.9,-4.88
176.3,-5.66
178.7,-4.01
181.1,-5.69
183.6,-7.15
186.1,-5.43
188.6,-3.83
191.2,-4.09
193.8,-4.04
196.4,-3.54
199.1,-3.90
201.8,-5.69
204.6,-5.33
207.3,-5.28
210.2,-4.93
213.0,-6.77
215.9,-4.34
218.9,-3.27
221.8,-4.17
224.9,-2.50
227.9,-1.59
231.0,-6.46
234.2,-3.59
237.4,-0.88
240.6,-2.20
243.9,-2.11
247.2,-1.64
250.5,-1.25
253.9,-3.02
257.4,-1.37
260.9,-1.48
264.5,-1.42
268.1,-2.21
271.7,-1.94
275.4,-3.59
279.2,-3.26
283.0,0.00
286.8,-0.57
290.7,-3.26
294.7,-4.08
298.7,-0.23
302.7,-0.82
306.9,-1.56
311.0,-0.44
315.3,-3.27
319.6,-2.20
323.9,-2.56
328.3,-2.49
332.8,-3.84
