frequency_hz,magnitude_db
20.0,-16.02
20.3,-19.86
20.5,-17.88
20.8,-17.62
21.1,-20.11
21.4,-19.25
21.7,-18.09
22.0,-18.18
22.3,-16.55
22.6,-18.31
22.9,-20.54
23.2,-18.47
23.5,-16.54
23.8,-21.40
24.2,-17.95
24.5,-22.30
24.8,-16.89
25.2,-17.80
25.5,-19.25
25.9,-19.58
26.2,-21.45
26.6,-19.56
26.9,-18.61
27.3,-18.86
27.7,-17.49
28.0,-18.96
28.4,-18.29
28.8,-17.24
29.2,-18.05
29.6,-18.65
30.0,-18.93
30.4,-17.15
30.8,-20.07
31.2,-17.99
31.7,-17.68
32.1,-21.70
32.5,-16.65
33.0,-17.62
33.4,-17.91
33.9,-18.56
34.3,-16.16
34.8,-17.77
35.3,-16.07
35.8,-21.72
36.3,-17.49
36.7,-20.12
37.2,-17.14
37.8,-19.36
38.3,-18.35
38.8,-19.94
39.3,-21.39
39.9,-16.49
40.4,-20.13
40.9,-17.36
41.5,-18.36
42.1,-19.45
42.6,-17.53
43.2,-18.15
43.8,-18.96
44.4,-18.43
45.0,-16.83
45.6,-16.42
46.2,-18.51
46.9,-18.31
47.5,-18.12
48.2,-18.42
48.8,-17.04
49.5,-18.17
50.1,-18.08
50.8,-19.85
51.5,-15.96
52.2,-17.16
52.9,-16.92
53.7,-17.95
54.4,-15.81
55.1,-18.60
55.9,-16.87
56.6,-16.97
57.4,-16.78
58.2,-17.35
59.0,-19.72
59.8,-19.84
60.6,-16.05
61.4,-15.93
62.3,-17.74
63.1,-17.25
64.0,-18.43
64.8,-20.03
65.7,-17.18
66.6,-17.08
67.5,-15.97
68.4,-17.86
69.4,-15.67
70.3,-15.76
71.3,-17.80
72.2,-15.46
73.2,-16.87
74.2,-16.57
75.2,-16.99
76.3,-17.32
77.3,-15.05
78.3,-15.41
79.4,-18.32
80.5,-15.38
81.6,-18.05
82.7,-15.91
83.8,-16.96
85.0,-15.20
86.1,-17.66
87.3,-19.01
88.5,-15.85
89.7,-15.94
90.9,-17.34
92.1,-14.84
93.4,-15.20
94.7,-17.29
96.0,-16.89
97.3,-16.25
98.6,-14.52
99.9,-14.21
101.3,-15.47
102.7,-15.85
104.1,-17.31
105.5,-14.45
106.9,-17.56
108.4,-13.42
109.8,-16.00
111.3,-15.64
112.8,-15.73
114.4,-13.03
115.9,-16.14
117.5,-14.83
119.1,-15.21
120.7,-15.95
122.4,-14.25
124.0,-16.32
125.7,-15.01
127.4,-15.59
129.2,-13.42
130.9,-13.80
132.7,-13.39
134.5,-15.81
136.4,-13.67
138.2,-12.99
140.1,-13.89
142.0,-12.23
143.9,-11.88
145.9,-16.06
147.9,-14.29
149.9,-14.70
151.9,-15.22
154.0,-14.69
156.1,-13.98
158.2,-15.44
160.4,-13.68
162.6,-14.68
164.8,-15.99
167.0,-12.76
169.3,-12.50
171.6,-13.24
173.9,-14.72
176.3,-12.36
178.7,-13.96
181.1,-13.12
183.6,-14.27
186.1,-11.12
188.6,-12.42
191.2,-12.04
193.8,-12.82
196.4,-13.00
199.1,-11.20
201.8,-15.04
204.6,-13.03
207.3,-14.45
210.2,-14.13
213.0,-12.44
215.9,-12.59
218.9,-12.55
221.8,-13.32
224.9,-11.34
227.9,-10.59
231.0,-10.21
234.2,-11.87
237.4,-13.16
240.6,-14.71
243.9,-14.99
247.2,-12.72
250.5,-13.71
253.9,-9.45
257.4,-12.03
260.9,-14.96
264.5,-14.00
268.1,-12.01
271.7,-14.37
275.4,-10.79
279.2,-11.03
283.0,-13.11
286.8,-12.13
290.7,-12.42
294.7,-9.43
298.7,-9.44
302.7,-10.19
306.9,-9.02
311.0,-13.06
315.3,-9.90
319.6,-11.38
323.9,-10.02
328.3,-7.68
332.8,-10.81
337.3,-8.46
341.9,-10.44
346.6,-9.98
351.3,-11.09
356.1,-8.11
360.9,-11.46
365.8,-10.15
370.8,-10.12
375.8,-10.16
381.0,-9.35
386.1,-9.92
391.4,-11.39
396.7,-9.44
402.1,-9.25
407.6,-10.13
413.1,-8.25
418.8,-9.96
424.5,-9.55
430.2,-8.11
436.1,-9.26
442.0,-8.83
448.0,-9.93
454.1,-6.58
460.3,-10.60
466.6,-7.36
472.9,-8.79
479.4,-8.70
485.9,-5.65
492.5,-9.08
499.2,-7.72
506.0,-7.64
512.9,-7.65
519.9,-9.10
527.0,-5.16
534.1,-7.71
541.4,-6.96
548.8,-6.86
556.2,-8.00
563.8,-7.80
571.5,-4.71
579.3,-5.71
587.1,-6.23
595.1,-4.84
603.2,-4.08
611.4,-2.66
619.8,-2.28
628.2,-5.87
636.7,-2.58
645.4,-2.06
654.2,-2.69
663.1,-1.86
672.1,-0.92
681.3,-3.04
690.5,-0.25
699.9,-2.25
709.5,0.00
719.1,-2.34
728.9,-1.19
738.8,-0.01
748.9,-2.44
759.1,-0.75
769.4,-3.96
779.9,-3.15
790.5,-5.03
801.3,-5.44
812.2,-5.01
823.2,-4.59
834.4,-6.80
845.8,-8.52
857.3,-6.70
868.9,-8.70
880.8,-7.94
892.8,-11.00
904.9,-6.80
917.2,-10.29
929.7,-7.97
942.4,-6.50
955.2,-7.96
968.2,-9.24
981.4,-7.97
994.7,-9.11
1008.3,-7.96
1022.0,-7.73
1035.9,-8.64
1050.0,-7.20
1064.3,-5.41
1078.8,-7.03
1093.5,-3.96
1108.3,-1.88
1123.4,-3.68
1138.7,-1.08
1154.2,-3.12
1169.9,-3.26
1185.8,-0.57
1202.0,-2.17
1218.3,-1.85
1234.9,-2.20
1251.7,-0.75
1268.8,-2.59
1286.0,-2.41
1303.5,-5.06
1321.3,-2.87
1339.3,-4.59
1357.5,-5.38
1376.0,-10.65
1394.7,-7.37
1413.7,-7.16
1432.9,-6.96
1452.4,-12.73
1472.2,-8.33
1492.2,-9.00
1512.5,-8.31
1533.1,-10.59
1554.0,-8.54
1575.1,-6.70
1596.6,-11.70
1618.3,-6.61
1640.3,-8.42
1662.6,-8.26
1685.3,-7.91
1708.2,-8.05
1731.4,-8.43
1755.0,-8.06
1778.9,-6.99
1803.1,-13.57
1827.6,-7.04
1852.5,-9.87
1877.7,-9.78
1903.3,-8.81
1929.2,-8.29
1955.4,-9.11
1982.1,-11.73
2009.0,-9.16
2036.4,-7.50
2064.1,-7.58
2092.2,-12.82
2120.7,-6.26
2149.5,-8.24
2178.8,-8.17
2208.4,-7.64
2238.5,-8.93
2268.9,-7.17
2299.8,-6.99
2331.1,-6.84
2362.9,-6.91
2395.0,-4.99
2427.6,-5.95
2460.6,-3.36
2494.1,-5.02
2528.1,-2.30
2562.5,-1.63
2597.4,-2.11
2632.7,-0.95
2668.5,-3.13
2704.9,-1.38
2741.7,-3.60
2779.0,-4.72
2816.8,-5.68
2855.1,-9.79
2894.0,-11.12
2933.4,-9.87
2973.3,-11.20
3013.8,-8.77
3054.8,-6.99
3096.4,-9.25
3138.5,-11.49
3181.2,-12.05
3224.5,-9.98
3268.4,-9.13
3312.9,-7.80
3358.0,-9.53
3403.7,-10.25
3450.0,-10.06
3497.0,-9.30
3544.6,-9.00
3592.8,-8.67
3641.7,-6.30
3691.3,-8.32
3741.5,-6.83
3792.4,-7.27
3844.0,-8.39
3896.4,-10.83
3949.4,-8.27
4003.1,-8.82
4057.6,-8.05
4112.8,-8.81
4168.8,-7.86
4225.5,-7.71
4283.1,-8.46
4341.4,-7.97
4400.4,-9.10
4460.3,-9.70
4521.0,-9.88
4582.6,-9.01
4644.9,-10.58
4708.1,-9.84
4772.2,-9.08
4837.2,-8.63
4903.0,-8.71
4969.7,-10.25
5037.4,-11.64
5105.9,-11.60
5175.4,-10.24
5245.9,-9.65
5317.3,-9.58
5389.6,-8.16
5463.0,-8.94
