frequency_hz,magnitude_db
20.0,-17.86
20.3,-19.36
20.5,-20.61
20.8,-17.99
21.1,-19.72
21.4,-18.96
21.7,-18.81
22.0,-18.48
22.3,-17.59
22.6,-20.42
22.9,-19.48
23.2,-17.45
23.5,-20.38
23.8,-18.22
24.2,-17.45
24.5,-17.49
24.8,-17.98
25.2,-19.30
25.5,-18.17
25.9,-19.19
26.2,-18.33
26.6,-21.88
26.9,-20.49
27.3,-18.17
27.7,-16.90
28.0,-18.05
28.4,-16.69
28.8,-17.74
29.2,-15.13
29.6,-16.87
30.0,-16.28
30.4,-19.28
30.8,-15.53
31.2,-17.10
31.7,-16.97
32.1,-17.94
32.5,-16.86
33.0,-17.72
33.4,-15.66
33.9,-16.17
34.3,-17.07
34.8,-18.00
35.3,-18.46
35.8,-17.69
36.3,-15.61
36.7,-17.61
37.2,-19.59
37.8,-16.85
38.3,-19.00
38.8,-19.38
39.3,-17.60
39.9,-18.42
40.4,-17.00
40.9,-17.86
41.5,-18.48
42.1,-16.30
42.6,-17.61
43.2,-16.97
43.8,-15.01
44.4,-16.54
45.0,-15.52
45.6,-17.38
46.2,-15.95
46.9,-16.15
47.5,-14.86
48.2,-17.45
48.8,-15.72
49.5,-19.73
50.1,-17.50
50.8,-17.66
51.5,-15.67
52.2,-17.49
52.9,-15.40
53.7,-14.33
54.4,-17.69
55.1,-17.76
55.9,-13.83
56.6,-16.26
57.4,-15.76
58.2,-16.44
59.0,-15.92
59.8,-15.24
60.6,-17.04
61.4,-15.77
62.3,-17.12
63.1,-12.48
64.0,-13.51
64.8,-16.38
65.7,-17.81
66.6,-14.10
67.5,-14.15
68.4,-15.30
69.4,-14.60
70.3,-13.96
71.3,-14.14
72.2,-12.80
73.2,-12.98
74.2,-15.83
75.2,-14.31
76.3,-12.60
77.3,-15.84
78.3,-13.74
79.4,-13.71
80.5,-13.73
81.6,-15.23
82.7,-11.92
83.8,-15.38
85.0,-14.22
86.1,-14.75
87.3,-14.83
88.5,-12.74
89.7,-13.53
90.9,-12.91
92.1,-13.63
93.4,-11.00
94.7,-15.42
96.0,-11.12
97.3,-15.89
98.6,-15.63
99.9,-12.65
101.3,-12.62
102.7,-10.51
104.1,-16.39
105.5,-11.71
106.9,-14.25
108.4,-12.72
109.8,-11.70
111.3,-10.92
112.8,-11.72
114.4,-9.90
115.9,-13.90
117.5,-10.57
119.1,-11.03
120.7,-11.18
122.4,-11.38
124.0,-9.82
125.7,-10.79
127.4,-9.15
129.2,-9.48
130.9,-12.90
132.7,-10.62
134.5,-10.24
136.4,-11.48
138.2,-9.60
140.1,-10.26
142.0,-9.93
143.9,-13.33
145.9,-9.61
147.9,-9.83
149.9,-9.06
151.9,-7.59
154.0,-9.02
156.1,-10.66
158.2,-7.52
160.4,-7.46
162.6,-8.47
164.8,-8.85
167.0,-9.32
169.3,-6.60
171.6,-7.26
173.9,-8.05
176.3,-4.84
178.7,-6.23
181.1,-6.61
183.6,-6.34
186.1,-6.01
188.6,-8.01
191.2,-8.85
193.8,-10.55
196.4,-4.81
199.1,-3.74
201.8,-4.89
204.6,-4.63
207.3,-3.98
210.2,-2.84
213.0,-5.18
215.9,-4.97
218.9,-4.57
221.8,-2.70
224.9,-4.46
227.9,-4.50
231.0,-3.99
234.2,-4.34
237.4,-4.17
240.6,-3.79
243.9,-2.33
247.2,-2.35
250.5,-5.14
253.9,-2.81
257.4,-1.99
260.9,-1.78
264.5,-1.89
268.1,-2.05
271.7,-3.09
275.4,0.00
279.2,-2.79
283.0,-3.53
286.8,-0.95
290.7,-1.75
294.7,-1.64
298.7,-3.63
302.7,-4.14
306.9,-2.41
311.0,-3.32
315.3,-4.58
319.6,-3.28
323.9,-2.09
328.3,-3.10
332.8,-2.20
337.3,-2.87
341.9,-3.62
346.6,-2.65
351.3,-4.09
356.1,-4.73
360.9,-8.31
365.8,-2.81
370.8,-5.61
375.8,-5.94
381.0,-3.92
386.1,-3.82
391.4,-6.71
396.7,-5.04
402.1,-8.64
407.6,-3.12
413.1,-4.30
418.8,-4.76
424.5,-5.69
430.2,-8.25
436.1,-5.08
442.0,-8.05
448.0,-6.71
454.1,-9.01
460.3,-9.74
466.6,-7.57
472.9,-8.57
479.4,-11.69
485.9,-7.89
492.5,-10.15
499.2,-8.64
506.0,-8.70
512.9,-9.03
519.9,-7.55
527.0,-9.20
534.1,-9.75
541.4,-8.79
548.8,-9.10
556.2,-7.94
563.8,-9.68
571.5,-8.67
579.3,-11.45
587.1,-7.75
595.1,-7.85
603.2,-9.82
611.4,-7.41
619.8,-13.01
628.2,-10.30
636.7,-7.06
645.4,-10.11
654.2,-9.38
663.1,-7.31
672.1,-9.43
681.3,-9.58
690.5,-7.52
699.9,-7.53
709.5,-9.44
719.1,-9.96
728.9,-7.30
738.8,-4.39
748.9,-5.59
759.1,-4.33
769.4,-5.40
779.9,-3.83
790.5,-3.04
801.3,-4.55
812.2,-2.13
823.2,-2.77
834.4,-2.01
845.8,-3.99
857.3,-0.86
868.9,-1.01
880.8,-4.58
892.8,-1.43
904.9,-2.78
917.2,-0.63
929.7,-1.69
942.4,-3.68
955.2,-4.68
968.2,-6.52
981.4,-4.51
994.7,-4.58
1008.3,-7.31
1022.0,-5.71
1035.9,-6.76
1050.0,-8.07
1064.3,-8.24
1078.8,-8.64
1093.5,-8.14
1108.3,-7.66
1123.4,-6.71
1138.7,-6.64
1154.2,-11.96
1169.9,-10.78
1185.8,-9.93
1202.0,-9.13
1218.3,-8.37
1234.9,-9.71
1251.7,-7.19
1268.8,-11.11
1286.0,-8.24
1303.5,-9.10
1321.3,-8.45
1339.3,-9.79
1357.5,-9.56
1376.0,-10.87
1394.7,-11.39
1413.7,-8.85
1432.9,-8.38
1452.4,-6.85
1472.2,-10.45
1492.2,-9.05
1512.5,-7.75
1533.1,-8.38
1554.0,-8.62
1575.1,-11.34
1596.6,-8.37
1618.3,-8.65
1640.3,-9.52
1662.6,-10.77
1685.3,-9.16
1708.2,-9.34
1731.4,-11.68
1755.0,-8.51
1778.9,-9.61
1803.1,-10.25
1827.6,-8.59
1852.5,-8.28
1877.7,-10.17
1903.3,-8.43
1929.2,-10.58
1955.4,-7.62
1982.1,-8.86
2009.0,-6.52
2036.4,-7.00
2064.1,-7.62
2092.2,-5.33
2120.7,-3.64
2149.5,-1.09
2178.8,-4.62
2208.4,-1.61
2238.5,-0.96
2268.9,-2.54
2299.8,-2.97
2331.1,-7.25
2362.9,-3.09
2395.0,-6.66
2427.6,-5.31
2460.6,-5.97
2494.1,-7.65
2528.1,-6.59
2562.5,-8.19
2597.4,-11.02
2632.7,-8.60
2668.5,-11.47
2704.9,-6.91
2741.7,-10.37
2779.0,-8.23
2816.8,-10.78
2855.1,-8.73
2894.0,-11.57
2933.4,-10.47
2973.3,-9.92
3013.8,-9.52
3054.8,-8.55
3096.4,-7.02
3138.5,-10.38
3181.2,-12.58
3224.5,-10.22
3268.4,-10.53
3312.9,-11.03
3358.0,-10.55
3403.7,-9.67
3450.0,-7.78
3497.0,-13.36
3544.6,-12.81
3592.8,-9.84
3641.7,-11.71
3691.3,-10.20
3741.5,-9.54
3792.4,-10.17
3844.0,-11.31
3896.4,-9.17
3949.4,-11.63
4003.1,-10.85
4057.6,-10.82
4112.8,-9.58
4168.8,-10.35
4225.5,-9.55
4283.1,-10.44
4341.4,-8.79
4400.4,-12.72
4460.3,-7.98
4521.0,-10.22
4582.6,-9.19
4644.9,-10.01
4708.1,-9.96
4772.2,-10.78
4837.2,-10.36
4903.0,-10.89
4969.7,-12.71
5037.4,-11.94
5105.9,-10.93
5175.4,-9.42
5245.9,-7.67
5317.3,-10.20
5389.6,-7.15
5463.0,-11.38
5537.3,-12.45
5612.7,-8.25
5689.1,-11.29
5766.5,-10.24
5845.0,-16.62
5924.5,-9.80
6005.2,-10.28
6086.9,-9.10
6169.7,-12.29
6253.7,-9.65
6338.8,-11.16
6425.1,-11.95
6512.5,-8.84
6601.2,-10.93
6691.0,-12.22
6782.1,-8.86
6874.4,-9.41
6967.9,-12.16
7062.8,-10.73
7158.9,-10.48
7256.3,-10.82
7355.1,-12.16
7455.2,-8.71
7556.7,-10.66
7659.5,-10.31
7763.7,-12.59
7869.4,-11.07
7976.5,-13.06
8085.1,-10.66
8195.1,-10.01
8306.6,-13.47
8419.7,-11.80
8534.3,-10.52
8650.4,-9.99
8768.2,-11.18
8887.5,-10.99
9008.5,-9.99
9131.1,-11.94
9255.3,-12.56
9381.3,-14.05
9509.0,-13.02
9638.4,-11.41
9769.6,-11.34
9902.5,-14.02
10037.3,-13.21
10173.9,-11.56
10312.4,-11.14
10452.7,-12.76
10595.0,-11.03
10739.2,-10.74
10885.3,-11.12
11033.5,-11.38
11183.7,-13.69
11335.9,-11.11
11490.1,-14.43
11646.5,-12.12
11805.0,-13.34
11965.7,-10.32
12128.5,-12.82
12293.6,-11.52
12460.9,-13.40
12630.5,-14.17
12802.4,-13.86
12976.7,-11.56
13153.3,-15.30
13332.3,-12.27
13513.7,-14.22
13697.7,-10.84
13884.1,-12.94
14073.0,-11.34
14264.6,-12.23
14458.7,-14.04
14655.5,-11.84
14855.0,-12.45
15057.1,-14.92
15262.1,-10.16
15469.8,-11.78
15680.3,-12.72
15893.7,-15.38
16110.0,-11.23
16329.3,-12.92
16551.5,-10.69
16776.8,-14.85
17005.1,-10.80
17236.6,-12.12
17471.2,-13.31
17708.9,-12.25
17950.0,-13.15
18194.2,-12.37
18441.9,-12.39
18692.9,-11.81
18947.3,-10.66
19205.1,-14.51
19466.5,-12.16
19731.5,-12.21
20000.0,-11.99
