frequency_hz,magnitude_db
20.0,-19.18
20.3,-16.22
20.5,-20.24
20.8,-18.15
21.1,-17.99
21.4,-17.71
21.7,-18.55
22.0,-18.97
22.3,-19.10
22.6,-20.03
22.9,-19.06
23.2,-19.30
23.5,-17.83
23.8,-18.95
24.2,-18.18
24.5,-21.46
24.8,-19.28
25.2,-18.83
25.5,-18.94
25.9,-18.38
26.2,-16.66
26.6,-17.07
26.9,-19.35
27.3,-17.67
27.7,-18.35
28.0,-18.06
28.4,-16.84
28.8,-18.47
29.2,-17.78
29.6,-19.77
30.0,-19.46
30.4,-17.06
30.8,-17.25
31.2,-19.27
31.7,-18.15
32.1,-19.95
32.5,-18.85
33.0,-18.02
33.4,-18.41
33.9,-18.46
34.3,-19.44
34.8,-18.15
35.3,-18.48
35.8,-18.05
36.3,-18.41
36.7,-20.15
37.2,-18.63
37.8,-18.39
38.3,-19.03
38.8,-18.65
39.3,-16.66
39.9,-20.85
40.4,-17.65
40.9,-16.81
41.5,-17.13
42.1,-18.65
42.6,-18.57
43.2,-17.67
43.8,-18.70
44.4,-17.78
45.0,-17.40
45.6,-17.25
46.2,-16.55
46.9,-18.52
47.5,-18.00
48.2,-18.20
48.8,-19.48
49.5,-17.92
50.1,-17.65
50.8,-17.65
51.5,-19.88
52.2,-18.11
52.9,-18.87
53.7,-18.56
54.4,-16.62
55.1,-17.62
55.9,-17.33
56.6,-15.97
57.4,-17.53
58.2,-15.66
59.0,-20.48
59.8,-18.15
60.6,-19.40
61.4,-16.70
62.3,-16.51
63.1,-18.14
64.0,-15.88
64.8,-19.48
65.7,-18.04
66.6,-17.92
67.5,-19.30
68.4,-18.47
69.4,-20.01
70.3,-17.01
71.3,-17.05
72.2,-17.79
73.2,-16.96
74.2,-15.52
75.2,-15.15
76.3,-15.87
77.3,-16.34
78.3,-15.84
79.4,-17.92
80.5,-17.41
81.6,-15.00
82.7,-17.33
83.8,-18.55
85.0,-15.69
86.1,-16.26
87.3,-15.72
88.5,-15.95
89.7,-18.05
90.9,-18.72
92.1,-16.50
93.4,-16.85
94.7,-15.57
96.0,-16.31
97.3,-16.81
98.6,-16.34
99.9,-16.96
101.3,-17.21
102.7,-16.73
104.1,-18.21
105.5,-16.92
106.9,-16.44
108.4,-14.61
109.8,-17.39
111.3,-16.20
112.8,-17.05
114.4,-15.99
115.9,-14.97
117.5,-16.00
119.1,-15.61
120.7,-13.36
122.4,-16.52
124.0,-17.95
125.7,-18.46
127.4,-14.63
129.2,-15.38
