frequency_hz,magnitude_db
20.0,-22.94
20.3,-19.85
20.5,-18.90
20.8,-20.61
21.1,-19.07
21.4,-19.61
21.7,-19.96
22.0,-21.76
22.3,-20.48
22.6,-19.89
22.9,-20.83
23.2,-19.65
23.5,-20.99
23.8,-19.18
24.2,-19.34
24.5,-20.30
24.8,-20.87
25.2,-18.89
25.5,-20.72
25.9,-21.72
26.2,-18.22
26.6,-18.29
26.9,-20.42
27.3,-21.25
27.7,-19.83
28.0,-18.91
28.4,-19.14
28.8,-18.42
29.2,-20.45
29.6,-19.93
30.0,-19.71
30.4,-22.10
30.8,-21.01
31.2,-18.95
31.7,-19.01
32.1,-20.54
32.5,-18.49
33.0,-22.44
33.4,-21.86
33.9,-21.65
34.3,-20.60
34.8,-20.76
35.3,-19.82
35.8,-20.65
36.3,-18.25
36.7,-22.40
37.2,-21.15
37.8,-19.30
38.3,-22.14
38.8,-17.99
39.3,-21.40
39.9,-20.43
40.4,-20.99
40.9,-20.80
41.5,-19.49
42.1,-18.97
42.6,-20.80
43.2,-18.08
43.8,-19.66
44.4,-20.78
45.0,-20.75
45.6,-19.48
46.2,-19.17
46.9,-19.44
47.5,-21.88
48.2,-20.90
48.8,-18.63
49.5,-18.47
50.1,-18.11
50.8,-21.43
51.5,-22.12
52.2,-18.82
52.9,-19.71
53.7,-20.19
54.4,-16.91
55.1,-19.94
55.9,-18.24
56.6,-21.04
57.4,-18.40
58.2,-20.67
59.0,-18.22
59.8,-18.19
60.6,-21.35
61.4,-17.89
62.3,-18.01
63.1,-18.40
64.0,-18.77
64.8,-18.85
65.7,-19.65
66.6,-20.55
67.5,-21.37
68.4,-18.30
69.4,-16.59
70.3,-19.22
71.3,-16.57
72.2,-18.65
73.2,-18.72
74.2,-18.58
75.2,-18.80
76.3,-22.58
77.3,-21.05
78.3,-20.08
79.4,-23.55
80.5,-18.35
81.6,-18.68
82.7,-18.93
83.8,-18.11
85.0,-18.22
86.1,-17.81
87.3,-19.22
88.5,-20.02
89.7,-17.98
90.9,-18.63
92.1,-19.73
93.4,-18.48
94.7,-19.78
96.0,-16.05
97.3,-17.01
98.6,-20.85
99.9,-17.96
101.3,-20.03
102.7,-15.38
104.1,-19.70
105.5,-19.18
106.9,-17.89
108.4,-19.62
109.8,-16.33
111.3,-17.46
112.8,-16.30
114.4,-16.41
115.9,-19.51
117.5,-18.97
119.1,-15.66
120.7,-16.00
122.4,-18.86
124.0,-17.27
125.7,-19.24
127.4,-16.82
129.2,-15.99
130.9,-16.32
132.7,-18.88
134.5,-17.63
136.4,-15.74
138.2,-17.24
140.1,-14.24
142.0,-17.00
143.9,-17.33
145.9,-15.49
147.9,-16.13
149.9,-16.78
151.9,-13.69
154.0,-16.42
156.1,-15.56
158.2,-15.74
160.4,-16.45
162.6,-17.61
164.8,-13.93
167.0,-16.84
169.3,-14.47
171.6,-16.03
173.9,-15.67
176.3,-16.34
178.7,-14.60
181.1,-17.87
183.6,-13.18
186.1,-17.46
188.6,-15.10
191.2,-14.05
193.8,-18.27
196.4,-15.18
199.1,-14.62
201.8,-17.46
204.6,-14.58
207.3,-15.74
210.2,-14.89
213.0,-12.38
215.9,-13.93
218.9,-14.53
221.8,-15.00
224.9,-16.34
227.9,-14.99
231.0,-14.50
234.2,-13.61
237.4,-15.62
240.6,-12.51
243.9,-14.22
247.2,-14.80
250.5,-14.56
253.9,-12.77
257.4,-13.05
260.9,-11.47
264.5,-12.79
268.1,-11.95
271.7,-10.92
275.4,-13.81
279.2,-12.31
283.0,-13.26
286.8,-11.71
290.7,-13.68
294.7,-10.93
298.7,-11.94
302.7,-13.88
306.9,-11.78
311.0,-13.02
315.3,-12.22
319.6,-10.70
323.9,-10.53
328.3,-14.70
332.8,-11.63
337.3,-12.36
341.9,-11.15
346.6,-12.22
351.3,-11.03
356.1,-13.64
360.9,-10.93
365.8,-12.51
370.8,-10.72
375.8,-11.37
381.0,-9.59
386.1,-9.04
391.4,-11.79
396.7,-7.14
402.1,-10.19
407.6,-10.16
413.1,-10.90
418.8,-12.47
424.5,-11.21
