frequency_hz,magnitude_db
20.0,-16.81
20.3,-18.98
20.5,-18.65
20.8,-19.11
21.1,-18.93
21.4,-20.16
21.7,-20.90
22.0,-18.96
22.3,-22.84
22.6,-18.78
22.9,-19.02
23.2,-20.48
23.5,-19.43
23.8,-20.71
24.2,-20.96
24.5,-18.48
24.8,-19.39
25.2,-17.36
25.5,-16.75
25.9,-18.75
26.2,-19.21
26.6,-17.61
26.9,-22.14
27.3,-21.22
27.7,-19.73
28.0,-19.04
28.4,-19.31
28.8,-19.28
29.2,-18.51
29.6,-19.40
30.0,-18.68
30.4,-19.05
30.8,-20.13
31.2,-20.48
31.7,-20.75
32.1,-18.81
32.5,-19.56
33.0,-17.21
33.4,-19.07
33.9,-17.09
34.3,-20.75
34.8,-19.08
35.3,-20.94
35.8,-19.31
36.3,-18.05
36.7,-19.48
37.2,-19.30
37.8,-18.44
38.3,-16.80
38.8,-20.05
39.3,-20.24
39.9,-19.65
40.4,-18.98
40.9,-19.80
41.5,-18.43
42.1,-17.87
42.6,-20.40
43.2,-16.94
43.8,-20.68
44.4,-18.28
45.0,-18.54
45.6,-16.64
46.2,-19.49
46.9,-18.67
47.5,-18.10
48.2,-17.68
48.8,-18.95
49.5,-16.67
50.1,-20.29
50.8,-19.87
51.5,-18.59
52.2,-19.82
52.9,-20.80
53.7,-17.02
54.4,-17.57
55.1,-22.08
55.9,-17.49
56.6,-17.24
57.4,-20.13
58.2,-17.08
59.0,-20.76
59.8,-19.24
60.6,-18.76
61.4,-17.91
62.3,-18.00
63.1,-18.19
64.0,-19.64
64.8,-16.61
65.7,-17.56
66.6,-19.10
67.5,-19.11
68.4,-16.64
69.4,-17.48
70.3,-19.52
71.3,-18.75
72.2,-16.95
73.2,-21.21
74.2,-19.34
75.2,-17.21
76.3,-19.83
77.3,-16.16
78.3,-19.60
79.4,-20.00
80.5,-19.87
81.6,-17.85
82.7,-18.43
83.8,-18.91
85.0,-17.66
86.1,-18.89
87.3,-17.41
88.5,-16.89
89.7,-17.21
90.9,-19.16
92.1,-16.49
93.4,-17.35
94.7,-16.49
96.0,-16.29
97.3,-17.96
98.6,-16.43
99.9,-18.34
101.3,-16.59
102.7,-19.70
104.1,-16.40
105.5,-17.16
106.9,-19.67
108.4,-16.69
109.8,-17.79
111.3,-14.63
112.8,-16.73
114.4,-14.36
115.9,-15.99
117.5,-18.05
119.1,-16.41
120.7,-16.44
122.4,-15.65
124.0,-18.98
125.7,-16.95
127.4,-17.35
129.2,-16.21
130.9,-16.21
132.7,-16.00
134.5,-15.53
136.4,-16.54
138.2,-15.30
140.1,-16.72
142.0,-16.71
143.9,-15.67
145.9,-15.80
147.9,-17.38
149.9,-13.43
151.9,-17.25
154.0,-18.08
156.1,-14.41
158.2,-15.05
160.4,-15.16
162.6,-16.46
164.8,-17.59
167.0,-15.77
169.3,-15.48
171.6,-15.35
173.9,-15.18
176.3,-13.76
178.7,-16.74
181.1,-18.04
183.6,-15.56
186.1,-17.49
188.6,-19.52
191.2,-13.07
193.8,-14.57
196.4,-15.59
199.1,-15.19
201.8,-12.58
204.6,-13.17
207.3,-13.36
210.2,-13.97
213.0,-15.83
215.9,-14.42
218.9,-15.51
221.8,-11.80
224.9,-15.52
227.9,-15.86
231.0,-16.33
234.2,-12.83
237.4,-16.25
240.6,-12.91
243.9,-13.23
247.2,-13.79
250.5,-10.68
253.9,-14.11
257.4,-12.67
260.9,-14.99
264.5,-14.24
268.1,-12.12
271.7,-14.05
275.4,-12.94
279.2,-11.96
283.0,-12.63
286.8,-13.21
290.7,-12.50
294.7,-15.80
298.7,-12.78
302.7,-11.04
306.9,-10.21
311.0,-11.29
315.3,-11.87
319.6,-11.76
323.9,-12.95
328.3,-10.63
332.8,-10.62
337.3,-12.36
341.9,-13.84
346.6,-10.90
351.3,-9.86
356.1,-11.88
360.9,-10.84
365.8,-10.57
370.8,-9.80
375.8,-10.26
381.0,-12.12
386.1,-9.68
391.4,-11.02
396.7,-10.49
402.1,-9.35
407.6,-13.14
413.1,-9.18
418.8,-11.68
424.5,-10.84
430.2,-8.50
436.1,-8.41
442.0,-10.95
448.0,-11.27
454.1,-12.06
460.3,-10.99
466.6,-7.91
472.9,-9.53
479.4,-11.16
485.9,-9.91
492.5,-11.65
499.2,-9.79
506.0,-8.77
512.9,-11.64
519.9,-8.44
527.0,-7.58
534.1,-8.20
541.4,-9.96
548.8,-7.92
