frequency_hz,magnitude_db
20.0,-16.06
20.3,-16.84
20.5,-16.67
20.8,-19.21
21.1,-16.35
21.4,-17.45
21.7,-18.54
22.0,-19.09
22.3,-17.97
22.6,-21.33
22.9,-16.56
23.2,-17.75
23.5,-18.35
23.8,-19.24
24.2,-18.40
24.5,-16.35
24.8,-20.16
25.2,-17.37
25.5,-18.15
25.9,-17.42
26.2,-15.75
26.6,-16.69
26.9,-18.44
27.3,-18.22
27.7,-16.25
28.0,-17.09
28.4,-21.36
28.8,-16.72
29.2,-16.30
29.6,-17.13
30.0,-17.52
30.4,-16.70
30.8,-15.85
31.2,-13.42
31.7,-17.78
32.1,-17.22
32.5,-19.77
33.0,-15.17
33.4,-16.33
33.9,-17.75
34.3,-15.35
34.8,-19.05
35.3,-15.69
35.8,-17.42
36.3,-14.78
36.7,-15.68
37.2,-15.28
37.8,-16.62
38.3,-17.93
38.8,-14.97
39.3,-14.73
39.9,-17.39
40.4,-18.09
40.9,-15.50
41.5,-16.21
42.1,-15.80
42.6,-17.44
43.2,-14.68
43.8,-17.76
44.4,-14.16
45.0,-16.15
45.6,-15.88
46.2,-15.98
46.9,-19.12
47.5,-18.01
48.2,-17.46
48.8,-16.28
49.5,-15.49
50.1,-16.07
50.8,-15.85
51.5,-14.55
52.2,-13.99
52.9,-15.06
53.7,-16.71
54.4,-16.11
55.1,-13.77
55.9,-17.59
56.6,-16.85
57.4,-14.77
58.2,-14.22
59.0,-15.27
59.8,-14.92
60.6,-14.26
61.4,-15.74
62.3,-15.83
63.1,-12.94
64.0,-13.31
64.8,-13.50
65.7,-15.97
66.6,-14.44
67.5,-13.64
68.4,-14.94
69.4,-13.23
70.3,-11.54
71.3,-14.64
72.2,-13.90
73.2,-13.53
74.2,-14.10
75.2,-13.15
76.3,-13.80
77.3,-12.82
78.3,-13.18
79.4,-11.48
80.5,-11.80
81.6,-13.07
82.7,-12.66
83.8,-11.67
85.0,-11.35
86.1,-16.85
87.3,-12.76
88.5,-13.24
89.7,-12.00
90.9,-12.67
92.1,-13.26
93.4,-14.53
94.7,-11.07
96.0,-10.60
97.3,-11.85
98.6,-11.18
99.9,-12.09
101.3,-11.93
102.7,-9.97
104.1,-10.53
105.5,-11.98
106.9,-9.66
108.4,-8.91
109.8,-9.88
111.3,-9.57
112.8,-9.50
114.4,-9.14
115.9,-10.25
117.5,-8.31
119.1,-7.36
120.7,-9.81
122.4,-9.70
124.0,-11.50
125.7,-8.46
127.4,-9.12
129.2,-8.49
130.9,-6.98
132.7,-8.37
134.5,-14.07
136.4,-7.28
138.2,-8.10
140.1,-9.91
142.0,-7.16
143.9,-5.60
145.9,-5.79
147.9,-4.88
149.9,-4.14
151.9,-5.64
154.0,-6.54
156.1,-5.03
158.2,-4.93
160.4,-8.46
162.6,-4.16
164.8,-7.39
167.0,-3.81
169.3,-4.14
171.6,-4.94
173.9,-3.99
176.3,-6.81
178.7,-6.99
181.1,-3.61
183.6,-3.84
186.1,-4.12
188.6,-5.14
191.2,-4.82
193.8,-3.84
196.4,-2.94
199.1,-5.82
201.8,-4.00
204.6,-3.33
